Colaborador,Data,Horas totais (decimal),Hora extra,Hora sobreaviso,Código PEP,PEP
João Silva,01/01/2024,0.0,,,60IT-001-01,Transformação Digital
Maria Santos,01/01/2024,0.0,,,60IT-001-01,Transformação Digital
Carlos Oliveira,01/01/2024,0.0,,,60IT-001-01,Transformação Digital
Ana Ferreira,01/01/2024,0.0,,,60IT-001-01,Transformação Digital
Roberto Costa,01/01/2024,0.0,,,60IT-001-01,Transformação Digital
Lucas Pereira,01/01/2024,0.0,,,60IT-001-01,Transformação Digital
Fernanda Lima,01/01/2024,0.0,,,60IT-001-01,Transformação Digital
Gabriel Souza,01/01/2024,0.0,,,60IT-001-01,Transformação Digital
Amanda Torres,01/01/2024,0.0,,,60IT-001-01,Transformação Digital
Pedro Carvalho,01/01/2024,0.0,,,60IT-001-01,Transformação Digital
