Colaborador,Data,Horas totais (decimal),Hora extra,Hora sobreaviso,Código PEP,PEP
Rodrigo Andrade,03/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,04/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,05/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,06/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,07/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,10/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,11/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,12/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,13/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,14/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,17/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,18/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,19/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,20/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,21/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,24/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,25/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,26/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,27/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Rodrigo Andrade,28/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,03/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,04/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,05/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,06/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,07/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,10/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,11/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,12/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,13/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,14/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,17/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,18/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,19/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,20/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,21/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,24/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,25/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,26/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,27/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Marcos Tavares,28/04/2023,5.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,03/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,04/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,05/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,06/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,07/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,10/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,11/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,12/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,13/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,14/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,17/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,18/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,19/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,20/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,21/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,24/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,25/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,26/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,27/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Ana Ferreira,28/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,03/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,04/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,05/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,06/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,07/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,10/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,11/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,12/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,13/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,14/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,17/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,18/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,19/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,20/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,21/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,24/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,25/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,26/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,27/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Lucas Pereira,28/04/2023,4.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,03/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,04/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,05/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,06/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,07/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,10/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,11/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,12/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,13/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,14/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,17/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,18/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
Leticia Moreira,19/04/2023,3.0,,,60IT-INF-01,Plataforma Core Enterprise
