Colaborador,Data,Horas totais (decimal),Hora extra,Hora sobreaviso,Código PEP,PEP
João Silva,01/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,02/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,03/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,06/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,07/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,08/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,09/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,10/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,13/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,14/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,15/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,16/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,17/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,20/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,21/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,22/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,23/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,24/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,27/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,28/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,29/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,30/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,31/10/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,03/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,04/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,05/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,06/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,07/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,10/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,11/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,12/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,13/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,14/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,17/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,18/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,19/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,20/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,21/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,24/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,25/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,26/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,27/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,28/11/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,01/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,02/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,03/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,04/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,05/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,08/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,09/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,10/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,11/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,12/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,15/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,16/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,17/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,18/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,19/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,22/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,23/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,24/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,25/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,26/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,29/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,30/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
João Silva,31/12/2025,7.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,01/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,02/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,03/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,06/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,07/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,08/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,09/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,10/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,13/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,14/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,15/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,16/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,17/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,20/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,21/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,22/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,23/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,24/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,27/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,28/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,29/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,30/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,31/10/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,03/11/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,04/11/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,05/11/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,06/11/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,07/11/2025,6.0,,,60IT-007-01,Hub de Integrações API
Roberto Costa,10/11/2025,6.0,,,60IT-007-01,Hub de Integrações API
